	4585
WEAR	1
WEARIED	1
WEARISOME	1
WEARS	1
WEARY	2
WEATHER	6
WEB	5
WEBBS	1
WEDDING	14
WEDNESDAY	9
WEEK	29
WEEKS	19
WEEP	1
WEIGHED	2
WEIGHT	6
WEIGHTY	1
WELCOME	12
WELCOMED	7
WELCOMING	1
WELFARE	5
WELL	226
WENT	67
WERE	566
WEST	2
WESTERHAM	1
WET	2
WHAT	483
WHATEVER	32
WHATSOEVER	2
WHEN	372
WHENCE	3
WHENEVER	23
WHERE	96
WHEREVER	8
WHETHER	54
WHICH	551
WHICHEVER	2
WHILE	78
WHILST	4
WHIMS	2
WHIMSICAL	1
WHISPER	10
WHISPERED	1
WHISPERING	3
WHIST	5
WHITE	3
WHITEHALL	3
WHITHER	2
WHO	287
WHOLE	79
WHOLLY	26
WHOM	85
WHOSE	59
WHY	54
WICKEDEST	1
WICKEDNESS	2
WICKHAM	194
WIDE	4
WIDELY	4
WIDEST	2
WIDOW	3
WIFE	47
WILD	11
WILDERNESS	1
WILFUL	3
WILFULLY	4
WILL	425
WILLED	1
WILLIAM	48
WILLING	6
WILLINGLY	3
WILLINGNESS	3
WIN	1
WIND	1
WINDING	1
WINDINGS	1
WINDOW	16
WINDOWS	6
WINE	3
WINK	2
WINKING	2
WINTER	15
WISDOM	1
WISE	5
WISELY	4
WISER	1
WISEST	6
WISH	98
WISHED	41
WISHER	1
WISHES	34
WISHING	14
WIT	6
WITH	1100
WITHDRAWING	1
WITHDRAWN	3
WITHDREW	5
WITHHELD	4
WITHIN	39
WITHOUT	178
WITHSTOOD	1
WITNESS	3
WITNESSED	4
WITNESSING	1
WITS	1
WITTICISMS	1
WITTY	1
WIVES	1
WOE	1
WOMAN	63
WOMANLY	1
WOMEN	19
WON	4
WONDER	34
WONDERED	8
WONDERFUL	3
WONDERFULLY	2
WONDERING	2
WONDERS	3
WONT	1
WOOD	5
WOODS	7
WOODY	2
WORD	50
WORDS	30
WORE	2
WORK	66
WORKBAGS	1
WORKED	4
WORKS	32
WORLD	66
WORLDLY	2
WORN	2
WORSE	13
WORST	7
WORTH	15
WORTHLESS	2
WORTHLESSNESS	1
WORTHY	3
WOULD	470
WOUND	2
WOUNDED	3
WOUNDING	2
WRETCHED	10
WRETCHEDLY	1
WRETCHEDNESS	2
WRITE	39
WRITER	3
WRITES	1
WRITING	17
WRITTEN	22
WRONG	15
WROTE	21
WWW	13
X	3
XI	3
XII	3
XIII	3
XIV	3
XIX	3
XV	3
XVI	3
XVII	3
XVIII	3
XX	1
XXI	1
XXII	1
XXIII	1
YARDS	1
YAWN	2
YAWNED	1
YAWNING	1
YEAR	29
YEARS	37
YES	76
YESTERDAY	13
YET	73
YIELD	4
YIELDED	2
YIELDING	3
YORK	1
YOU	1430
YOUNG	129
YOUNGE	4
YOUNGER	29
YOUNGEST	14
YOUR	475
YOURS	12
YOURSELF	50
YOURSELVES	2
YOUTH	9
YOUTHS	1
ZIP	3
